897,One Memorial Drive,42.361619320766856,-71.0804355052096,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Customer
454,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,Customer
355,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,Ames St at Main St,42.3625,-71.08822,Subscriber
761,Ames St at Main St,42.3625,-71.08822,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Subscriber
492,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Dana Park,42.36178043960605,-71.10809952020645,Subscriber
1613,Dana Park,42.36178043960605,-71.10809952020645,Charlestown Navy Yard,42.374124549426526,-71.05481199938367,Customer
1018,Charlestown Navy Yard,42.374124549426526,-71.05481199938367,Cross St at Hanover St,42.362811,-71.056067,Customer
5560,Cross St at Hanover St,42.362811,-71.056067,Arch St at Franklin St,42.35533501941256,-71.0582291708306,Subscriber
1366,Arch St at Franklin St,42.35533501941256,-71.0582291708306,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,Customer
1408,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,Customer
389,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,Beacon St at Charles St,42.356052,-71.069849,Subscriber
2806,Beacon St at Charles St,42.356052,-71.069849,Burlington Ave at Brookline Ave,42.345733,-71.100694,Customer
571,Burlington Ave at Brookline Ave,42.345733,-71.100694,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Subscriber
776,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Silber Way,42.34949599514002,-71.10057592391968,Subscriber
989,Silber Way,42.34949599514002,-71.10057592391968,MIT Vassar St,42.35560121327927,-71.10394477844238,Subscriber
402,MIT Vassar St,42.35560121327927,-71.10394477844238,University Park,42.36264779118595,-71.10006093978882,Customer
754,University Park,42.36264779118595,-71.10006093978882,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,Subscriber
105,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,Copley Square - Dartmouth St at Boylston St,42.34992828230057,-71.07739206866427,Subscriber
2510,Copley Square - Dartmouth St at Boylston St,42.34992828230057,-71.07739206866427,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,Customer
928,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,Longwood Ave at Binney St,42.338629,-71.1065,Subscriber
379,Longwood Ave at Binney St,42.338629,-71.1065,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,Subscriber
5717,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,Customer
1523,Boylston St at Jersey St,42.34465062887831,-71.09732501226972,Blossom St at Charles St,42.36435589027983,-71.0695936904267,Subscriber
1000,Blossom St at Charles St,42.36435589027983,-71.0695936904267,Newbury St at Hereford St,42.348717,-71.085954,Customer
1801,Newbury St at Hereford St,42.348717,-71.085954,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Customer
1212,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029,Subscriber
703,Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029,Tremont St at E Berkeley St,42.345392,-71.069616,Subscriber
339,Tremont St at E Berkeley St,42.345392,-71.069616,Boylston St at Dartmouth St,42.35010609546997,-71.07720464005979,Subscriber
