fname,lname,year,stint,team,league,AB,H,HR,SB,BB,SO,HBP,PA
Rufino,Linares,1982,1,ATL,NL,191,57,2,5,7,29,1,200
Davey,Lopes,1982,1,OAK,AL,450,109,11,28,40,51,1,497
John,Lowenstein,1982,1,BAL,AL,322,103,24,7,54,59,1,394
Greg,Luzinski,1982,1,CHA,AL,583,170,18,1,89,120,6,697
Fred,Lynn,1982,1,CAL,AL,472,141,21,7,58,72,3,549
Garry,Maddox,1982,1,PHI,NL,412,117,8,7,12,32,0,428
Bill,Madlock,1982,1,PIT,NL,568,181,19,18,48,39,4,650
Jim,Maler,1982,1,SEA,AL,221,50,4,0,12,35,3,242
Rick,Manning,1982,1,CLE,AL,562,152,8,12,54,60,0,624
Buck,Martinez,1982,1,TOR,AL,260,63,10,1,24,34,0,292
Jerry,Martin,1982,1,KCA,AL,519,138,15,1,38,138,2,565
Gary,Matthews,1982,1,PHI,NL,616,173,19,21,66,87,2,691
John,Mayberry,1982,2,NYA,AL,215,45,8,0,28,38,5,251
Milt,May,1982,1,SFN,NL,395,104,9,0,28,38,0,437
Lee,Mazzilli,1982,1,TEX,AL,195,47,4,11,28,26,1,224
Willie,McGee,1982,1,SLN,NL,422,125,4,24,12,58,2,441
Dave,McKay,1982,1,OAK,AL,212,42,4,6,11,35,0,226
Hal,McRae,1982,1,KCA,AL,613,189,27,4,55,61,5,683
Dan,Meyer,1982,1,OAK,AL,383,92,8,1,18,33,0,412
Larry,Milbourne,1982,3,CLE,AL,291,80,2,2,12,20,2,319
Rick,Miller,1982,1,BOS,AL,409,104,4,5,40,41,2,458
Eddie,Milner,1982,1,CIN,NL,407,109,4,18,41,40,2,453
Bobby,Mitchell,1982,1,MIN,AL,454,113,2,8,54,53,2,517
Paul,Molitor,1982,1,ML4,AL,666,201,19,41,69,93,1,752
Rick,Monday,1982,1,LAN,NL,210,54,11,2,39,51,1,260
Don,Money,1982,1,ML4,AL,275,78,16,0,32,38,1,315
Charlie,Moore,1982,1,ML4,AL,456,116,6,2,29,49,1,494
Keith,Moreland,1982,1,CHN,NL,476,124,15,0,46,71,3,540
Omar,Moreno,1982,1,PIT,NL,645,158,3,60,44,121,1,708
Joe,Morgan,1982,1,SFN,NL,463,134,14,24,85,60,2,558
Lloyd,Moseby,1982,1,TOR,AL,487,115,9,11,33,106,8,536
Rance,Mulliniks,1982,1,TOR,AL,311,76,4,3,37,49,1,354
Jerry,Mumphrey,1982,1,NYA,AL,477,143,9,11,50,66,0,537
Dale,Murphy,1982,1,ATL,NL,598,168,36,23,93,134,3,707
Dwayne,Murphy,1982,1,OAK,AL,543,129,27,26,94,122,3,662
Eddie,Murray,1982,1,BAL,AL,550,174,32,7,70,82,1,645
Graig,Nettles,1982,1,NYA,AL,405,94,18,1,51,49,1,465
Jeff,Newman,1982,1,OAK,AL,251,50,6,0,14,49,0,269
Reid,Nichols,1982,1,BOS,AL,245,74,7,5,14,28,1,266
Joe,Nolan,1982,1,BAL,AL,219,51,6,1,16,35,0,243
Ken,Oberkfell,1982,1,SLN,NL,470,136,2,11,40,31,1,522
Ron,Oester,1982,1,CIN,NL,549,143,9,5,35,82,0,603
Ben,Oglivie,1982,1,ML4,AL,602,147,34,3,70,81,4,690
Al,Oliver,1982,1,MON,NL,617,204,22,5,61,59,4,702
Tom,O'Malley,1982,1,SFN,NL,291,80,2,0,33,39,1,336
Amos,Otis,1982,1,KCA,AL,475,136,11,9,37,65,2,527
Tom,Paciorek,1982,1,CHA,AL,382,119,11,3,24,53,9,425
Dave,Parker,1982,1,PIT,NL,244,66,6,7,22,45,1,272
Larry,Parrish,1982,1,TEX,AL,440,116,17,5,30,84,4,478
Lance,Parrish,1982,1,DET,AL,486,138,32,3,40,99,1,534
Tony,Pena,1982,1,PIT,NL,497,147,11,2,17,57,4,526
Jack,Perconte,1982,1,CLE,AL,219,52,0,9,22,25,0,252
Tony,Perez,1982,1,BOS,AL,196,51,6,0,19,48,0,218
Broderick,Perkins,1982,1,SDN,NL,347,94,2,2,26,20,3,391
Lou,Piniella,1982,1,NYA,AL,261,80,6,0,18,18,1,289
Darrell,Porter,1982,1,SLN,NL,373,86,12,1,66,66,2,451
Hosken,Powell,1982,1,TOR,AL,265,73,3,4,12,23,0,282
Terry,Puhl,1982,1,HOU,NL,507,133,8,17,51,49,2,569
Tim,Raines,1982,1,MON,NL,647,179,4,78,75,83,2,740
Rafael,Ramirez,1982,1,ATL,NL,609,169,10,27,36,49,3,676
Mike,Ramsey,1982,1,SLN,NL,256,59,1,6,22,34,1,293
Willie,Randolph,1982,1,NYA,AL,553,155,3,16,75,35,3,646
Johnny,Ray,1982,1,PIT,NL,647,182,7,16,36,34,1,703
Jerry,Remy,1982,1,BOS,AL,636,178,0,16,55,77,2,717
Jim,Rice,1982,1,BOS,AL,573,177,24,0,55,98,7,644
Gene,Richards,1982,1,SDN,NL,521,149,3,30,36,52,2,563
Mike,Richardt,1982,1,TEX,AL,402,97,3,9,23,42,1,436
Cal,Ripken,1982,1,BAL,AL,598,158,28,3,46,95,3,658
Aurelio,Rodriguez,1982,1,CHA,AL,257,62,3,0,11,35,1,277
Gary,Roenicke,1982,1,BAL,AL,393,106,21,6,70,73,9,479
Pete,Rose,1982,1,PHI,NL,634,172,3,8,66,32,7,727
Jerry,Royster,1982,1,ATL,NL,261,77,2,14,22,36,2,294
Joe,Rudi,1982,1,OAK,AL,193,41,5,0,24,35,1,223
Bill,Russell,1982,1,LAN,NL,497,136,3,10,63,30,4,587
Lenn,Sakata,1982,1,BAL,AL,343,89,6,7,30,39,4,391
Luis,Salazar,1982,1,SDN,NL,524,127,8,32,23,80,2,569
Billy,Sample,1982,1,TEX,AL,360,94,10,10,27,35,3,398
Ryne,Sandberg,1982,1,CHN,NL,635,172,7,32,36,90,4,690
Steve,Sax,1982,1,LAN,NL,638,180,4,49,49,53,2,700
Mike,Schmidt,1982,1,PHI,NL,514,144,35,14,107,131,3,648
Mike,Scioscia,1982,1,LAN,NL,365,80,5,2,44,31,1,430
Tony,Scott,1982,1,HOU,NL,460,110,1,18,15,56,1,487
Ted,Simmons,1982,1,ML4,AL,539,145,23,0,32,40,2,586
Joe,Simpson,1982,1,SEA,AL,296,76,2,8,22,48,2,328
Ken,Singleton,1982,1,BAL,AL,561,141,14,0,86,93,2,659
Roy,Smalley,1982,2,NYA,AL,486,125,20,0,68,100,0,572
Lonnie,Smith,1982,1,SLN,NL,592,182,8,68,64,74,9,674
Ozzie,Smith,1982,1,SLN,NL,488,121,2,25,68,32,2,579
Reggie,Smith,1982,1,SFN,NL,349,99,18,7,46,46,0,407
Chris,Speier,1982,1,MON,NL,530,136,7,1,47,67,1,597
Mike,Squires,1982,1,CHA,AL,195,52,1,3,14,13,0,216
Fred,Stanley,1982,1,OAK,AL,228,44,2,0,29,32,1,259
Dave,Stapleton,1982,1,BOS,AL,538,142,14,2,31,40,3,586
Rusty,Staub,1982,1,NYN,NL,219,53,3,0,24,10,0,251
John,Stearns,1982,1,NYN,NL,352,103,4,17,30,35,2,394
Bill,Stein,1982,1,TEX,AL,184,44,1,0,12,23,2,200
Jim,Sundberg,1982,1,TEX,AL,470,118,10,2,49,57,1,532
Rick,Sweet,1982,2,SEA,AL,258,66,4,3,20,24,2,286
Garry,Templeton,1982,1,SDN,NL,563,139,6,27,26,82,1,608
Gorman,Thomas,1982,1,ML4,AL,567,139,39,3,84,143,4,671
Jason,Thompson,1982,1,PIT,NL,550,156,31,1,101,107,2,669
Dickie,Thon,1982,1,HOU,NL,496,137,3,37,37,48,1,542
Andre,Thornton,1982,1,CLE,AL,589,161,32,6,109,81,2,726
Alan,Trammell,1982,1,DET,AL,489,126,9,19,52,47,0,556
Alex,Trevino,1982,1,CIN,NL,355,89,1,3,34,34,3,412
Manny,Trillo,1982,1,PHI,NL,549,149,0,8,33,53,3,598
Jerry,Turner,1982,1,DET,AL,210,52,8,1,20,37,0,233
Willie,Upshaw,1982,1,TOR,AL,580,155,21,8,52,91,1,654
Ellis,Valentine,1982,1,NYN,NL,337,97,8,1,5,38,1,350
Jesus,Vega,1982,1,MIN,AL,199,53,5,6,8,19,0,213
George,Vukovich,1982,1,PHI,NL,335,91,6,2,32,47,0,383
Duane,Walker,1982,1,CIN,NL,239,52,5,9,27,58,2,275
Tim,Wallach,1982,1,MON,NL,596,160,28,6,36,81,4,649
Gary,Ward,1982,1,MIN,AL,570,165,28,13,37,105,1,620
Claudell,Washington,1982,1,ATL,NL,563,150,16,33,50,107,6,635
Ron,Washington,1982,1,MIN,AL,451,122,5,3,14,79,0,470
U. L.,Washington,1982,1,KCA,AL,437,125,10,23,38,48,0,487
John,Wathan,1982,1,KCA,AL,448,121,3,36,48,46,2,502
Lou,Whitaker,1982,1,DET,AL,560,160,15,11,48,58,1,623
Frank,White,1982,1,KCA,AL,524,156,11,10,16,65,2,555
Ernie,Whitt,1982,1,TOR,AL,284,74,11,3,26,34,0,321
Alan,Wiggins,1982,1,SDN,NL,254,65,1,33,13,19,1,274
Bump,Wills,1982,1,CHN,NL,419,114,6,35,46,76,5,480
Glenn,Wilson,1982,1,DET,AL,322,94,12,2,15,51,0,342
Mookie,Wilson,1982,1,NYN,NL,639,178,5,58,32,102,2,681
Willie,Wilson,1982,1,KCA,AL,585,194,3,37,26,81,6,623
Dave,Winfield,1982,1,NYA,AL,539,151,37,5,45,64,0,604
John,Wockenfuss,1982,1,DET,AL,193,58,8,0,29,21,0,226
Jim,Wohlford,1982,1,SFN,NL,250,64,2,8,30,36,0,290
Al,Woods,1982,1,TOR,AL,201,47,3,1,21,20,0,229
Gary,Woods,1982,1,CHN,NL,245,66,4,3,21,48,0,272
George,Wright,1982,1,TEX,AL,557,147,11,3,30,78,3,603
Butch,Wynegar,1982,2,NYA,AL,191,56,3,0,40,21,1,243
Carl,Yastrzemski,1982,1,BOS,AL,459,126,16,0,59,50,2,524
Steve,Yeager,1982,1,LAN,NL,196,48,2,0,13,28,1,218
Joel,Youngblood,1982,1,NYN,NL,202,52,3,0,8,37,5,217
Robin,Yount,1982,1,ML4,AL,635,210,29,14,54,63,1,706
Richie,Zisk,1982,1,SEA,AL,503,147,21,2,49,89,1,560
Willie,Aikens,1983,1,KCA,AL,410,124,23,0,45,75,2,467
Gary,Allenson,1983,1,BOS,AL,230,53,3,0,27,43,2,269
Jamie,Allen,1983,1,SEA,AL,273,61,4,6,33,52,1,313
Bill,Almon,1983,1,OAK,AL,451,120,4,26,26,67,2,498
Tony,Armas,1983,1,BOS,AL,574,125,36,0,29,131,2,613
Alan,Ashby,1983,1,HOU,NL,275,63,8,0,31,38,0,315
Bob,Bailor,1983,1,NYN,NL,340,85,1,18,20,23,1,370
Harold,Baines,1983,1,CHA,AL,596,167,20,7,49,85,1,668
Dusty,Baker,1983,1,LAN,NL,531,138,15,7,72,59,2,618
Alan,Bannister,1983,1,CLE,AL,377,100,5,6,31,43,3,422
Jesse,Barfield,1983,1,TOR,AL,388,98,27,2,22,110,4,420
Kevin,Bass,1983,1,HOU,NL,195,46,2,2,6,27,0,207
Don,Baylor,1983,1,NYA,AL,534,162,21,17,40,53,13,608
Buddy,Bell,1983,1,TEX,AL,618,171,14,3,50,48,4,683
Johnny,Bench,1983,1,CIN,NL,310,79,12,0,24,38,0,335
Bruce,Benedict,1983,1,ATL,NL,423,126,2,1,61,24,1,508
Juan,Beniquez,1983,1,CAL,AL,315,96,3,4,15,29,4,341
Tony,Bernazard,1983,1,CHA,AL,233,61,2,2,17,45,0,259
Tony,Bernazard,1983,2,SEA,AL,300,80,6,21,38,52,2,350
Dale,Berra,1983,1,PIT,NL,537,135,10,8,61,84,0,626
Dann,Bilardello,1983,1,CIN,NL,298,71,9,2,15,49,1,323
Wade,Boggs,1983,1,BOS,AL,582,210,5,3,92,36,1,687
Juan,Bonilla,1983,1,SDN,NL,556,132,4,3,50,40,3,628
Barry,Bonnell,1983,1,TOR,AL,377,120,10,10,33,52,0,422
Bob,Boone,1983,1,CAL,AL,468,120,9,4,24,42,0,510
Larry,Bowa,1983,1,CHN,NL,499,133,2,7,35,30,0,545
Bob,Brenly,1983,1,SFN,NL,281,63,7,10,37,48,2,329
George,Brett,1983,1,KCA,AL,464,144,25,0,57,39,1,538
Greg,Brock,1983,1,LAN,NL,455,102,20,5,83,81,1,555
Hubie,Brooks,1983,1,NYN,NL,586,147,5,6,24,96,4,626
Tom,Brookens,1983,1,DET,AL,332,71,6,10,29,46,2,376
Bobby,Brown,1983,1,SDN,NL,225,60,5,27,23,38,0,250
Darrell,Brown,1983,1,MIN,AL,309,84,0,3,10,28,1,323
Tom,Brunansky,1983,1,MIN,AL,542,123,28,2,61,95,4,615
Bill,Buckner,1983,1,CHN,NL,626,175,16,12,25,30,5,670
Al,Bumbry,1983,1,BAL,AL,378,104,3,12,31,33,0,418
Jeff,Burroughs,1983,1,OAK,AL,401,108,10,0,47,79,0,459
Randy,Bush,1983,1,MIN,AL,373,93,11,0,34,51,7,423
Brett,Butler,1983,1,ATL,NL,549,154,5,39,54,56,2,616
Enos,Cabell,1983,1,DET,AL,392,122,5,4,16,41,1,422
Rod,Carew,1983,1,CAL,AL,472,160,2,6,57,48,1,545
Gary,Carter,1983,1,MON,NL,541,146,17,1,51,57,7,616
John,Castino,1983,1,MIN,AL,563,156,11,4,62,54,1,641
Manny,Castillo,1983,1,SEA,AL,203,42,0,1,7,20,1,218
Cesar,Cedeno,1983,1,CIN,NL,332,77,9,13,33,53,3,377
Rick,Cerone,1983,1,NYA,AL,246,54,2,0,15,29,1,267
Ron,Cey,1983,1,CHN,NL,581,160,24,0,62,85,5,669
Chris,Chambliss,1983,1,ATL,NL,447,125,20,2,63,68,0,528
Bobby,Clark,1983,1,CAL,AL,212,49,5,0,9,45,0,225
Jack,Clark,1983,1,SFN,NL,492,132,20,5,74,79,1,580
Dave,Collins,1983,1,TOR,AL,402,109,1,31,43,67,2,452
Dave,Concepcion,1983,1,CIN,NL,528,123,1,14,56,81,0,602
Onix,Concepcion,1983,1,KCA,AL,219,53,0,10,12,12,1,240
Cecil,Cooper,1983,1,ML4,AL,661,203,30,2,37,63,1,717
Al,Cowens,1983,1,SEA,AL,356,73,7,10,23,38,2,384
Warren,Cromartie,1983,1,MON,NL,360,100,3,8,43,48,1,417
Jose,Cruz,1983,1,HOU,NL,594,189,14,30,65,86,1,674
Julio,Cruz,1983,1,SEA,AL,181,46,2,33,20,22,2,207
Julio,Cruz,1983,2,CHA,AL,334,84,1,24,29,44,2,374
Todd,Cruz,1983,1,SEA,AL,216,41,7,1,7,56,2,230
Todd,Cruz,1983,2,BAL,AL,221,46,3,3,15,52,1,247
Rich,Dauer,1983,1,BAL,AL,459,108,5,1,47,29,2,522
Chili,Davis,1983,1,SFN,NL,486,113,11,10,55,108,0,559
Jody,Davis,1983,1,CHN,NL,510,138,24,0,33,93,2,555
Mike,Davis,1983,1,OAK,AL,443,122,8,32,27,74,5,485
Andre,Dawson,1983,1,MON,NL,633,189,32,25,38,81,9,710
Doug,DeCinces,1983,1,CAL,AL,370,104,18,2,32,56,0,413
Ivan,de Jesus,1983,1,PHI,NL,497,126,4,11,53,77,0,583
Rick,Dempsey,1983,1,BAL,AL,347,80,4,1,40,54,3,401
Bucky,Dent,1983,1,TEX,AL,417,99,2,3,23,31,1,450
Bob,Dernier,1983,1,PHI,NL,221,51,1,35,18,21,0,245
Bo,Diaz,1983,1,PHI,NL,471,111,15,1,38,57,2,520
Bill,Doran,1983,1,HOU,NL,535,145,8,12,86,67,0,640
Brian,Downing,1983,1,CAL,AL,403,99,19,1,62,59,5,477
Dan,Driessen,1983,1,CIN,NL,386,107,12,6,75,51,0,477
Leon,Durham,1983,1,CHN,NL,337,87,12,12,66,83,3,421
Jim,Dwyer,1983,1,BAL,AL,196,56,8,1,31,29,0,232
Jerry,Dybzinski,1983,1,CHA,AL,256,59,1,11,18,29,2,290
Mike,Easler,1983,1,PIT,NL,381,117,10,4,22,64,3,409
Dave,Engle,1983,1,MIN,AL,374,114,8,2,28,39,1,409
Nick,Esasky,1983,1,CIN,NL,302,80,12,6,27,99,3,336
Darrell,Evans,1983,1,SFN,NL,523,145,30,6,84,81,2,623
Dwight,Evans,1983,1,BOS,AL,470,112,22,3,70,97,2,549
Mike,Fischlin,1983,1,CLE,AL,225,47,2,9,26,32,2,266
Carlton,Fisk,1983,1,CHA,AL,488,141,26,9,46,88,6,548
Tim,Flannery,1983,1,SDN,NL,214,50,3,2,20,23,5,253
Scott,Fletcher,1983,1,CHA,AL,262,62,3,5,29,22,2,302
Doug,Flynn,1983,1,MON,NL,452,107,0,2,19,38,0,485
Tim,Foli,1983,1,CAL,AL,330,83,2,2,5,18,1,350
Dan,Ford,1983,1,BAL,AL,407,114,9,9,29,55,3,449
George,Foster,1983,1,NYN,NL,601,145,28,1,38,111,4,652
Julio,Franco,1983,1,CLE,AL,560,153,8,32,27,50,2,599
Terry,Francona,1983,1,MON,NL,230,59,3,0,6,20,0,240
Gary,Gaetti,1983,1,MIN,AL,584,143,21,7,54,121,4,652
Oscar,Gamble,1983,1,NYA,AL,180,47,7,0,25,23,3,209
Jim,Gantner,1983,1,ML4,AL,603,170,11,5,38,46,6,667
Damaso,Garcia,1983,1,TOR,AL,525,161,3,31,24,34,2,564
Phil,Garner,1983,1,HOU,NL,567,135,14,18,63,84,5,652
Steve,Garvey,1983,1,SDN,NL,388,114,14,4,29,39,3,436
Rich,Gedman,1983,1,BOS,AL,204,60,2,0,15,37,1,229
Kirk,Gibson,1983,1,DET,AL,401,91,15,14,53,96,4,470
Brian,Giles,1983,1,NYN,NL,400,98,2,17,36,77,2,446
David,Green,1983,1,SLN,NL,422,120,8,34,26,76,1,457
Bobby,Grich,1983,1,CAL,AL,387,113,16,2,76,62,7,479
Alfredo,Griffin,1983,1,TOR,AL,528,132,4,8,27,44,3,572
Ken,Griffey,1983,1,NYA,AL,458,140,11,6,34,45,2,502
Greg,Gross,1983,1,PHI,NL,245,74,0,3,34,16,1,288
Wayne,Gross,1983,1,OAK,AL,339,79,12,3,36,52,3,388
Pedro,Guerrero,1983,1,LAN,NL,584,174,32,23,72,110,2,676
Tony,Gwynn,1983,1,SDN,NL,304,94,1,7,23,21,0,339
Mel,Hall,1983,1,CHN,NL,410,116,17,6,42,101,3,464
Garry,Hancock,1983,1,OAK,AL,256,70,8,2,5,13,1,270
Mike,Hargrove,1983,1,CLE,AL,469,134,3,0,78,40,5,571
Terry,Harper,1983,1,ATL,NL,201,53,3,6,20,43,1,224
Toby,Harrah,1983,1,CLE,AL,526,140,9,16,75,49,7,616
Ron,Hassey,1983,1,CLE,AL,341,92,6,2,38,35,2,390
Mickey,Hatcher,1983,1,MIN,AL,375,119,9,2,14,19,1,395
Von,Hayes,1983,1,PHI,NL,351,93,6,20,36,55,3,399
Mike,Heath,1983,1,OAK,AL,345,97,6,3,18,59,1,370
Danny,Heep,1983,1,NYN,NL,253,64,8,3,29,40,1,295
Dave,Henderson,1983,1,SEA,AL,484,130,17,9,28,93,1,524
Rickey,Henderson,1983,1,OAK,AL,513,150,9,108,103,80,4,630
Steve,Henderson,1983,1,SEA,AL,436,128,10,10,44,82,0,486
George,Hendrick,1983,1,SLN,NL,529,168,18,3,51,76,2,608
Keith,Hernandez,1983,1,SLN,NL,218,62,3,1,24,30,0,249
Keith,Hernandez,1983,2,NYN,NL,320,98,9,8,64,42,2,398
Leo,Hernandez,1983,1,BAL,AL,203,50,6,1,12,19,0,217
Larry,Herndon,1983,1,DET,AL,603,182,20,9,46,95,3,664
Tom,Herr,1983,1,SLN,NL,313,101,2,6,43,27,1,370
Ron,Hodges,1983,1,NYN,NL,250,65,0,0,49,42,2,311
Glenn,Hoffman,1983,1,BOS,AL,473,123,4,1,30,76,2,519
Bob,Horner,1983,1,ATL,NL,386,117,20,4,50,63,1,441
Dave,Hostetler,1983,1,TEX,AL,304,67,11,0,42,103,5,354
Paul,Householder,1983,1,CIN,NL,380,97,6,12,44,60,2,432
Roy,Howell,1983,1,ML4,AL,194,54,4,1,15,29,0,211
Kent,Hrbek,1983,1,MIN,AL,515,153,16,4,57,71,3,587
Glenn,Hubbard,1983,1,ATL,NL,517,136,12,3,55,71,4,594
Garth,Iorg,1983,1,TOR,AL,375,103,2,7,13,45,1,397
Reggie,Jackson,1983,1,CAL,AL,397,77,14,0,52,140,4,463
Ron,Jackson,1983,1,CAL,AL,348,80,8,2,27,33,3,381
Cliff,Johnson,1983,1,TOR,AL,407,108,22,0,67,69,5,492
Ruppert,Jones,1983,1,SDN,NL,335,78,12,11,35,58,0,376
Bob,Kearney,1983,1,OAK,AL,298,76,8,1,21,50,4,329
Steve,Kemp,1983,1,NYA,AL,373,90,12,1,41,37,2,422
Terry,Kennedy,1983,1,SDN,NL,549,156,17,1,51,89,2,627
Dave,Kingman,1983,1,NYN,NL,248,49,13,2,22,57,1,274
Ron,Kittle,1983,1,CHA,AL,520,132,35,8,39,150,8,578
Ray,Knight,1983,1,HOU,NL,507,154,9,0,42,62,4,576
Duane,Kuiper,1983,1,SFN,NL,176,44,0,0,27,13,2,217
Lee,Lacy,1983,1,PIT,NL,288,87,4,31,22,36,0,315
Ken,Landreaux,1983,1,LAN,NL,481,135,17,30,34,52,2,529
Carney,Lansford,1983,1,OAK,AL,299,92,10,3,22,33,3,332
Rudy,Law,1983,1,CHA,AL,501,142,3,77,42,36,2,553
Vance,Law,1983,1,CHA,AL,408,99,4,3,51,56,1,472
Rick,Leach,1983,1,DET,AL,242,60,3,2,19,21,1,263
Joe,Lefebvre,1983,2,PHI,NL,258,80,8,5,31,46,3,301
Johnnie,LeMaster,1983,1,SFN,NL,534,128,6,39,60,96,2,611
Chet,Lemon,1983,1,DET,AL,491,125,24,0,54,70,20,574
Jeffrey,Leonard,1983,1,SFN,NL,516,144,21,26,35,116,1,560
Sixto,Lezcano,1983,1,SDN,NL,317,74,8,0,47,66,1,376
Bryan,Little,1983,1,MON,NL,350,91,1,4,50,22,2,412
Davey,Lopes,1983,1,OAK,AL,494,137,17,22,51,61,2,568
John,Lowenstein,1983,1,BAL,AL,310,87,15,2,49,55,1,367
Greg,Luzinski,1983,1,CHA,AL,502,128,32,2,70,117,11,599
Fred,Lynn,1983,1,CAL,AL,437,119,22,2,55,83,2,510
Garry,Maddox,1983,1,PHI,NL,324,89,4,7,17,31,1,350
Bill,Madlock,1983,1,PIT,NL,473,153,12,3,49,24,2,540
Rick,Manning,1983,1,CLE,AL,194,54,1,7,12,22,0,210
Rick,Manning,1983,2,ML4,AL,375,86,3,11,26,40,1,410
Mike,Marshall,1983,1,LAN,NL,465,132,17,7,43,127,5,522
Buck,Martinez,1983,1,TOR,AL,221,56,10,0,29,39,0,253
Gary,Matthews,1983,1,PHI,NL,446,115,10,13,69,81,0,529
Don,Mattingly,1983,1,NYA,AL,279,79,4,0,21,31,1,310
Milt,May,1983,1,SFN,NL,186,46,6,2,21,23,0,214
Lee,Mazzilli,1983,1,PIT,NL,246,59,5,15,49,43,2,306
Bake,McBride,1983,1,CLE,AL,230,67,1,8,9,26,1,245
Willie,McGee,1983,1,SLN,NL,601,172,5,39,26,98,0,633
Hal,McRae,1983,1,KCA,AL,589,183,12,2,50,68,10,661
Rick,Miller,1983,1,BOS,AL,262,75,2,3,28,30,1,294
Eddie,Milner,1983,1,CIN,NL,502,131,9,41,68,60,1,586
Paul,Molitor,1983,1,ML4,AL,608,164,15,41,59,74,2,686
Rick,Monday,1983,1,LAN,NL,178,44,6,0,29,42,0,217
Charlie,Moore,1983,1,ML4,AL,529,150,2,11,55,42,4,610
Keith,Moreland,1983,1,CHN,NL,533,161,16,0,68,73,3,627
Omar,Moreno,1983,1,HOU,NL,405,98,0,30,22,72,1,432
Joe,Morgan,1983,1,PHI,NL,404,93,16,18,89,54,4,505
Lloyd,Moseby,1983,1,TOR,AL,539,170,18,27,51,85,5,608
Rance,Mulliniks,1983,1,TOR,AL,364,100,10,0,57,43,1,432
Jerry,Mumphrey,1983,1,NYA,AL,267,70,7,2,28,33,0,304
Dale,Murphy,1983,1,ATL,NL,589,178,36,30,90,110,2,699
Dwayne,Murphy,1983,1,OAK,AL,471,107,17,7,62,105,0,550
Eddie,Murray,1983,1,BAL,AL,582,178,33,5,86,90,3,693
Ricky,Nelson,1983,1,SEA,AL,291,74,5,7,17,50,0,314
Graig,Nettles,1983,1,NYA,AL,462,123,20,0,51,65,3,521
Reid,Nichols,1983,1,BOS,AL,274,78,6,7,26,36,3,309
Joe,Nolan,1983,1,BAL,AL,184,51,5,0,16,31,2,203
Ken,Oberkfell,1983,1,SLN,NL,488,143,3,12,61,27,1,562
Pete,O'Brien,1983,1,TEX,AL,524,124,8,5,58,62,1,590
Ron,Oester,1983,1,CIN,NL,549,145,11,2,49,106,1,626
Ben,Oglivie,1983,1,ML4,AL,411,115,13,4,60,64,4,495
Al,Oliver,1983,1,MON,NL,614,184,8,1,44,44,2,681
Tom,O'Malley,1983,1,SFN,NL,410,106,5,2,52,47,4,477
Jose,Oquendo,1983,1,NYN,NL,328,70,1,8,19,60,2,355
Jorge,Orta,1983,1,TOR,AL,245,58,10,1,19,29,0,268
Amos,Otis,1983,1,KCA,AL,356,93,4,5,27,63,0,387
Spike,Owen,1983,1,SEA,AL,306,60,2,10,24,44,2,340
Tom,Paciorek,1983,1,CHA,AL,420,129,9,6,25,58,3,460
Dave,Parker,1983,1,PIT,NL,552,154,12,12,28,89,0,592
Larry,Parrish,1983,1,TEX,AL,555,151,26,0,46,91,3,621
Lance,Parrish,1983,1,DET,AL,605,163,27,1,44,106,1,670
Tony,Pena,1983,1,PIT,NL,542,163,15,6,31,73,0,588
Tony,Perez,1983,1,PHI,NL,253,61,6,1,28,57,1,286
Broderick,Perkins,1983,1,CLE,AL,184,50,0,1,9,19,0,200
Tony,Phillips,1983,1,OAK,AL,412,102,4,16,48,70,2,477
Darrell,Porter,1983,1,SLN,NL,443,116,15,1,68,94,4,531
Terry,Puhl,1983,1,HOU,NL,465,136,8,24,36,48,2,514
Pat,Putnam,1983,1,SEA,AL,469,126,19,2,39,57,3,525
Tim,Raines,1983,1,MON,NL,615,183,11,90,97,70,2,729
Rafael,Ramirez,1983,1,ATL,NL,622,185,7,16,36,48,2,672
Willie,Randolph,1983,1,NYA,AL,420,117,2,12,53,32,1,477
Johnny,Ray,1983,1,PIT,NL,576,163,5,18,35,26,0,626
Gary,Redus,1983,1,CIN,NL,453,112,17,39,71,111,3,535
Jerry,Remy,1983,1,BOS,AL,592,163,0,11,40,35,0,649
Jim,Rice,1983,1,BOS,AL,626,191,39,0,52,102,6,699
Gene,Richards,1983,1,SDN,NL,233,64,3,14,17,17,1,253
Cal,Ripken,1983,1,BAL,AL,663,211,27,0,58,97,0,726
Mickey,Rivers,1983,1,TEX,AL,309,88,1,9,11,21,1,329
Andre,Robertson,1983,1,NYA,AL,322,80,1,2,8,54,3,343
Leon,Roberts,1983,1,KCA,AL,213,55,8,1,17,27,1,235
Gary,Roenicke,1983,1,BAL,AL,323,84,19,2,30,35,4,368
Ron,Roenicke,1983,2,SEA,AL,198,50,4,6,33,22,2,238
Pete,Rose,1983,1,PHI,NL,493,121,0,7,52,28,2,560
Jerry,Royster,1983,1,ATL,NL,268,63,3,11,28,35,0,305
Bill,Russell,1983,1,LAN,NL,451,111,1,13,33,31,4,506
Luis,Salazar,1983,1,SDN,NL,481,124,14,24,17,80,2,518
Billy,Sample,1983,1,TEX,AL,554,152,12,44,44,46,5,613
Ryne,Sandberg,1983,1,CHN,NL,633,165,8,37,51,79,3,702
Steve,Sax,1983,1,LAN,NL,623,175,5,56,58,73,1,695
Mike,Schmidt,1983,1,PHI,NL,534,136,40,7,128,148,3,686
